nombre,precio,codigo,estado,esPedido,img,descripcion
Topo ortopedico rosca de seguridad circón rojo red,8.0,[P-AR-155],disponible,FALSE,aretes/P-AR-155.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad circón rojo redondo #3
Topos circón blanco cuadrado n5,2.25,[P-AR-394],disponible,FALSE,aretes/P-AR-394.jpg,Topos en plata ley 925 circón blanco cuadrado n5
Topo ortopedico rosca de seguridad circón cuadrado,8.0,[P-AR-167],disponible,FALSE,aretes/P-AR-167.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad circón cuadrado rosado #4
Topo ortopedico rosca de seguridad circón cuadrado,8.0,[P-AR-168],disponible,FALSE,aretes/P-AR-168.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad circón cuadrado negro #5
Topo micro circón ojitos rojos,10.5,[P-AR-266],disponible,FALSE,aretes/P-AR-266.jpg,Topo plata 925 micro circón ojitos rojos
Topo ortopedico rosca de seguridad circón redondo ,8.0,[P-AR-118],disponible,FALSE,aretes/P-AR-118.jpg,Topo ortopedico en Plata ley 925 rosca de seguridad circón redondo blanco #6
Topo circón blanco cuadrado n2,2.0,[P-AR-228],disponible,FALSE,aretes/P-AR-228.jpg,Topo plata 925 circón blanco cuadrado n2
Aretes tipo argolla cristales baguette ámbar,18.0,[P-AR-390],disponible,FALSE,aretes/P-AR-390.jpg,Aretes en plata ley 925 tipo argolla cristales baguette ámbar
Arete argolla lisa tubular,18.75,[P-AR-202],disponible,FALSE,aretes/P-AR-202.jpg,Arete argolla lisa tubular 5cm plata 925
Argollas lisa tipo hilo 4.,17.0,[P-AR-356],disponible,FALSE,aretes/P-AR-356.jpg,Argollas en plata ley 925 lisa tipo hilo 4.5 cm
Argolla huggie esmaltado negro 1.,14.0,[P-AR-507],disponible,FALSE,aretes/P-AR-507.jpg,Argolla plata ley 925 huggie esmaltado negro 1.3 cm
Argollas entorchadas 3.,15.0,[P-AR-246],disponible,FALSE,aretes/P-AR-246.jpg,Argollas en plata ley 925 entorchadas 3.3 cm
Aretes broche catalán cubo cristal,17.0,[P-AR-400],disponible,FALSE,aretes/P-AR-400.jpg,Aretes en plata ley 925 broche catalán cubo cristal
"Argolla huggie circones rosa1,",14.5,[P-AR-315],disponible,FALSE,aretes/P-AR-315.jpg,"Argolla plata 925 huggie circones rosa1,5cm"
Argollas entorchadas,28.0,[P-AR-285],disponible,FALSE,aretes/P-AR-285.jpg,Argollas en plata ley 925 entorchadas 6 cm
Argollas entorchadas 2.,12.75,[P-AR-240],disponible,FALSE,aretes/P-AR-240.jpg,Argollas en plata ley 925 entorchadas 2.8 cm
Aretes rectángulo diamantado y corazón,10.0,[P-AR-311],disponible,FALSE,aretes/P-AR-311.jpg,Aretes en plata 925 rectángulo diamantado y corazón
Aretes (b.rodio) corazones entrelazados,14.0,[P-AR-175],disponible,FALSE,aretes/P-AR-175.jpg,Aretes plata 925 (b.rodio) corazones entrelazados
Aretes hello kitty mini microcircón turquesa,5.0,[P-AR-199],disponible,FALSE,aretes/P-AR-199.jpg,Aretes en Plata ley 925 hello kitty mini microcircón turquesa
Topo van cleef boreal 1.,22.5,[P-AR-358],disponible,FALSE,aretes/P-AR-358.jpg,Topo en plata ley 925 van cleef boreal 1.4 cm
Arete cuadrado,5.5,[P-AR-323],disponible,FALSE,aretes/P-AR-323.jpg,Arete plata 925 cuadrado 8mm
Aretes (b.rodio) medio aro cristal cuadrado,12.0,[P-AR-163],disponible,FALSE,aretes/P-AR-163.jpg,Aretes plata 925 (b.rodio) medio aro cristal cuadrado
Arete gancho largo,12.0,[P-AR-154],disponible,FALSE,aretes/P-AR-154.jpg,Arete gancho largo plata 925
Topo ojitos ovalados blancos,8.0,[P-AR-270],disponible,FALSE,aretes/P-AR-270.jpg,Topo plata 925 ojitos ovalados blancos
Topo ojitos ovalados rojos,8.0,[P-AR-268],disponible,FALSE,aretes/P-AR-268.jpg,Topo plata 925 ojitos ovalados rojos
"Argolla lisa gancho anzuelo 1,",2.0,[P-AR-295],disponible,FALSE,aretes/P-AR-295.jpg,"Argolla plata 925 lisa gancho anzuelo 1,2cm"
Argolla lisa,6.0,[P-AR-569],disponible,FALSE,aretes/P-AR-569.jpg,Argolla en plata ley 925 lisa
Aretes broche catalán flor cristal color s.,18.0,[P-AR-414],disponible,FALSE,aretes/P-AR-414.jpg,Aretes en plata ley 925 broche catalán flor cristal color s.
Aretes  gancho catalán microcircones magenta,18.0,[P-AR-353],disponible,FALSE,aretes/P-AR-353.jpg,Aretes en plata ley 925  gancho catalán microcircones magenta
Aretes estrella mini circón turquesa,5.0,[P-AR-194],disponible,FALSE,aretes/P-AR-194.jpg,Aretes en Plata ley 925 estrella mini circón turquesa
Argolla huggie (b.rodio) cristal baguette 1.,14.0,[P-AR-157],disponible,FALSE,aretes/P-AR-157.jpg,Argolla huggie plata 925 (b.rodio) cristal baguette 1.4 cm
Aretes largos (b.rodio)  media luna nácar,14.0,[P-AR-152],disponible,FALSE,aretes/P-AR-152.jpg,Aretes largos plata 925 (b.rodio)  media luna nácar
"Arete argolla lisa tubular 2,",10.5,[P-AR-198],disponible,FALSE,aretes/P-AR-198.jpg,"Arete argolla lisa tubular 2,6cm plata 925"
Argolla huggie granito de arroz,15.0,[P-AR-431],disponible,FALSE,aretes/P-AR-431.jpg,Argolla huggie plata ley 925 granito de arroz
Topo ojitos ovalados azules,8.0,[P-AR-269],disponible,FALSE,aretes/P-AR-269.jpg,Topo plata 925 ojitos ovalados azules
Arete van cleef verde,19.25,[P-AR-493],disponible,FALSE,aretes/P-AR-493.jpg,Arete plata ley 925 van cleef verde
Aretes largos (b.rodio) cadenita palo cristal rect,13.0,[P-AR-150],disponible,FALSE,aretes/P-AR-150.jpg,Aretes largos plata 925 (b.rodio) cadenita palo cristal rectángulo
Topo mini triángulos,2.5,[P-AR-553],disponible,FALSE,aretes/P-AR-553.jpg,Topo plata 925 mini triángulos
Aretes largos (b.rodio) perla estrellita mar,11.5,[P-AR-140],disponible,FALSE,aretes/P-AR-140.jpg,Aretes largos plata 925 (b.rodio) perla estrellita mar
Argollas huggie tipo plata quemada circón,15.0,[P-AR-151],disponible,FALSE,aretes/P-AR-151.jpg,Argollas huggie plata ley 925 tipo plata quemada circón
