nombre,precio,codigo,estado,esPedido,img,descripcion
Anillo hombre circón y jesus dorado,17.0,[P-AN-120],disponible,FALSE,anillos/P-AN-120.jpg,Anillo plata 925 hombre circón y jesus dorado
Anillo para pareja silueta corazón laminado - muje,45.0,[P-AN-184],disponible,FALSE,anillos/P-AN-184.jpg,Anillo en plata ley 925 para pareja silueta corazón laminado - mujer talla 7 / hombre talla 12
Anillo circón color verde / magenta,7.0,[P-AN-215],disponible,FALSE,anillos/P-AN-215.jpg,Anillo en Plata ley 925 circón color verde / magenta
Anillo tipo solitario bola humor,12.5,[P-AN-248],disponible,FALSE,anillos/P-AN-248.jpg,Anillo plata ley 925 tipo solitario bola humor
Anillo ojito marquesita,23.0,[P-AN-136],disponible,FALSE,anillos/P-AN-136.jpg,Anillo plata ley 925 ojito marquesita
Anillo plata lisa,15.0,[P-AN-142],disponible,FALSE,anillos/P-AN-142.jpg,Anillo plata 925 plata lisa
Anillo thai circón ovalo blanco / verde,23.0,[P-AN-377],disponible,FALSE,anillos/P-AN-377.jpg,Anillo en plata ley 925 thai circón ovalo blanco / verde
Anillo hombre cruz dorada,17.0,[P-AN-110],disponible,FALSE,anillos/P-AN-110.jpg,Anillo plata 925 hombre cruz dorada
Anillo tipo hindú doble nudillo microcircones colo,15.75,[P-AN-361],disponible,FALSE,anillos/P-AN-361.jpg,Anillo en plata ley 925 tipo hindú doble nudillo microcircones colores
Anillo ovalo microcircones blancos,14.5,[P-AN-251],disponible,FALSE,anillos/P-AN-251.jpg,Anillo plata ley 925 ovalo microcircones blancos
Anillo tipo solitario circón verde / azul,13.75,[P-AN-366],disponible,FALSE,anillos/P-AN-366.jpg,Anillo en plata ley 925 tipo solitario circón verde / azul
Anillo cristal verde ovalado,14.5,[P-AN-253],disponible,FALSE,anillos/P-AN-253.jpg,Anillo plata ley 925 cristal verde ovalado
Anillo corazón estetoscopio ajustable,12.0,[P-AN-368],disponible,FALSE,anillos/P-AN-368.jpg,Anillo en plata ley 925 corazón estetoscopio ajustable
Anillo microcircones blancos,25.0,[P-AN-158],disponible,FALSE,anillos/P-AN-158.jpg,Anillo plata 925 microcircones blancos
Anillo cristal redondo magenta,14.5,[P-AN-252],disponible,FALSE,anillos/P-AN-252.jpg,Anillo plata ley 925 cristal redondo magenta
Anillo y oro grado base cuadrada lisa escudos late,37.0,[P-AN-163],disponible,FALSE,anillos/P-AN-163.jpg,Anillo plata 925 y oro grado base cuadrada lisa escudos laterales
Anillo alianza matrimonio lisas x unidad,22.0,[P-AN-223],disponible,FALSE,anillos/P-AN-223.jpg,Anillo plata 925 alianza matrimonio lisas 6mm x unidad
Anillo thai cristales ovalos,25.0,[P-AN-374],disponible,FALSE,anillos/P-AN-374.jpg,Anillo en plata ley 925 thai cristales ovalos
Anillo tipo cinturón microcircones blancos ajustab,20.0,[P-AN-367],disponible,FALSE,anillos/P-AN-367.jpg,Anillo en plata ley 925 tipo cinturón microcircones blancos ajustable
Anillo hombre jesus dorado circones blancos,17.0,[P-AN-114],disponible,FALSE,anillos/P-AN-114.jpg,Anillo plata 925 hombre jesus dorado circones blancos
Anillo búho cristal verde,14.5,[P-AN-249],disponible,FALSE,anillos/P-AN-249.jpg,Anillo plata ley 925 búho cristal verde
Anillo y oro grado birrete filo derecho dorado,38.0,[P-AN-183],disponible,FALSE,anillos/P-AN-183.jpg,Anillo plata 925 y oro grado birrete filo derecho dorado
Anillo cristal negro gota,14.5,[P-AN-254],disponible,FALSE,anillos/P-AN-254.jpg,Anillo plata ley 925 cristal negro gota
Anillo doble cruz microcircones,16.5,[P-AN-363],disponible,FALSE,anillos/P-AN-363.jpg,Anillo en plata ley 925 doble cruz microcircones
Anillo tortuga piedra roja,15.0,[P-AN-178],disponible,FALSE,anillos/P-AN-178.jpg,Anillo plata ley 925 tortuga piedra roja
Anillo colibrí microcircones colores regulable,17.0,[P-AN-365],disponible,FALSE,anillos/P-AN-365.jpg,Anillo en plata ley 925 colibrí microcircones colores regulable
Anillo tipo solitario circón modelo 2,14.0,[P-AN-153],disponible,FALSE,anillos/P-AN-153.jpg,Anillo plata ley 925 tipo solitario circón modelo 2
Anillo alianza x2 detalle corazon circon,22.0,[P-AN-197],disponible,FALSE,anillos/P-AN-197.jpg,Anillo plata 925 alianza x2 detalle corazon circon
Anillo trenzado talla 8,10.5,[P-AN-233],disponible,FALSE,anillos/P-AN-233.jpg,Anillo en plata ley 925 trenzado talla 8
Anillo gota cristales baguette,15.0,[P-AN-260],disponible,FALSE,anillos/P-AN-260.jpg,Anillo plata ley 925 gota cristales baguette
Anillo aro diamantado,12.0,[P-AN-350],disponible,FALSE,anillos/P-AN-350.jpg,Anillo en plata ley 925 aro diamantado
